Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Lead_Time_Days,GSCPI,gust_kph,precip_mm
SC-10000,2025-10-16,Singapore,Los Angeles,Rail,Textiles,5930.83,197.42,41.39,-0.08,11.125,0.0
SC-10001,2024-04-24,Singapore,Shanghai,Rail,Automotive,14285.36,237.24,40.92,-0.96,6.4,0.1875
SC-10002,2024-01-26,Rotterdam,Los Angeles,Rail,Perishables,11113.91,427.42,11.54,-0.34,11.125,0.0
SC-10003,2024-10-08,Busan,Hamburg,Rail,Electronics,9180.55,170.66,53.13,-0.35,14.15,0.2625
SC-10004,2024-09-07,Busan,Singapore,Air,Perishables,2762.27,434.96,0.5,0.1,13.7,0.0
SC-10005,2024-08-16,Rotterdam,Marseille,Rail,Automotive,2761.92,44.98,2.16,0.21,13.7,0.11875
SC-10006,2024-05-22,Shanghai,Antwerp,Rail,Pharmaceuticals,1342.21,388.62,2.99,-0.59,15.88125,0.1625
SC-10007,2024-04-14,Busan,Antwerp,Air,Textiles,13059.55,423.93,1.25,-0.96,15.88125,0.1625
SC-10008,2025-11-23,Dubai,Marseille,Air,Textiles,9216.17,91.73,0.62,-0.15,13.7,0.11875
SC-10009,2025-07-12,Los Angeles,Singapore,Rail,Electronics,10767.05,215.74,25.17,0.02,13.7,0.0
SC-10010,2024-03-30,Dubai,Rotterdam,Rail,Perishables,798.48,83.58,0.5,-0.36,16.075,0.03125
SC-10011,2025-08-27,Hamburg,Los Angeles,Air,Automotive,14563.69,353.6,1.33,-0.08,11.125,0.0
SC-10012,2025-03-08,Singapore,Busan,Rail,Perishables,12570.42,268.14,19.6,-0.19,6.4125,0.08125
SC-10013,2024-02-02,Los Angeles,Hamburg,Road,Pharmaceuticals,3578.92,318.03,7.58,-0.19,14.15,0.2625
SC-10014,2024-01-31,Antwerp,Shanghai,Rail,Textiles,3136.46,99.05,9.4,-0.34,6.4,0.1875
SC-10015,2024-04-05,Antwerp,Marseille,Rail,Perishables,3159.37,106.66,25.5,-0.96,13.7,0.11875
SC-10016,2024-08-11,Los Angeles,Busan,Road,Perishables,4911.51,21.71,3.76,0.21,6.4125,0.08125
SC-10017,2024-08-26,Shanghai,Busan,Air,Textiles,8108.97,161.71,1.83,0.21,6.4125,0.08125
SC-10018,2025-06-01,Busan,Rotterdam,Air,Automotive,6763.2,280.31,0.5,0.08,16.075,0.03125
SC-10019,2025-09-08,Busan,Dubai,Rail,Electronics,4722.82,429.11,7.6,-0.02,22.25625,0.0
SC-10020,2024-01-28,Busan,Antwerp,Air,Perishables,9371.87,333.8,0.5,-0.34,15.88125,0.1625
SC-10021,2025-07-28,Shanghai,Antwerp,Rail,Textiles,2522.66,218.26,6.61,0.02,15.88125,0.1625
SC-10022,2024-07-22,Busan,Rotterdam,Rail,Textiles,4736.1,476.61,4.54,-0.05,16.075,0.03125
SC-10023,2025-10-27,Busan,Shanghai,Air,Perishables,5812.25,359.9,3.3,-0.08,6.4,0.1875
SC-10024,2025-12-19,Dubai,Shanghai,Road,Perishables,7113.01,465.15,4.29,0.56,6.4,0.1875
